lang	skill	file	utterance
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons nou aleatori sobre {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons nou aleatòria d'{query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons nou aleatòria de {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons nou aleatòria relacionada amb {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons nou aleatòria relacionat amb {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons nou aleatòria sobre {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons nou d'{query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons nou de {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons nou relacionada amb {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons nou relacionat amb {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons nou sobre {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons nova aleatori d'{query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons nova aleatori de {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons nova aleatori relacionada amb {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons nova aleatori relacionat amb {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons nova aleatori sobre {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons nova aleatòria d'{query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons nova aleatòria de {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons nova aleatòria relacionada amb {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons nova aleatòria relacionat amb {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons nova aleatòria sobre {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons nova d'{query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons nova de {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons nova relacionada amb {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons nova relacionat amb {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons nova sobre {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons relacionada amb {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons relacionat amb {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es fons sobre {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es pantalla d'inici aleatori d'{query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es pantalla d'inici aleatori de {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es pantalla d'inici aleatori relacionada amb {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es pantalla d'inici aleatori relacionat amb {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es pantalla d'inici aleatori sobre {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es pantalla d'inici aleatòria d'{query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es pantalla d'inici aleatòria de {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es pantalla d'inici aleatòria relacionada amb {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es pantalla d'inici aleatòria relacionat amb {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es pantalla d'inici aleatòria sobre {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es pantalla d'inici d'{query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es pantalla d'inici de {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es pantalla d'inici nou aleatori d'{query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es pantalla d'inici nou aleatori de {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es pantalla d'inici nou aleatori relacionada amb {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es pantalla d'inici nou aleatori relacionat amb {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es pantalla d'inici nou aleatori sobre {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es pantalla d'inici nou aleatòria d'{query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es pantalla d'inici nou aleatòria de {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es pantalla d'inici nou aleatòria relacionada amb {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es pantalla d'inici nou aleatòria relacionat amb {query}
ca-ES	ovos-skill-wallpapers	wallpaper_about.intent	establix es pantalla d'inici nou aleatòria sobre {query}
